cuisine,name,offer
"Bakery, Desserts, Beverages",Theobroma,50% OFF up to 100
"South Indian, Desserts, Beverages",Santosham,50% OFF up to 100
"Healthy Food, North Indian, South Indian, Ice Cream, Desserts, Beverages",Great Indian Khichdi by EatFit,50% OFF up to 100
"Cafe, Coffee, Beverages, American, Burger, Sandwich, Fast Food, Desserts",Blue Tokai Coffee Roasters,Flat 10% OFF
"Healthy Food, North Indian, Ice Cream, Desserts, Beverages",Home Plate by EatFit,50% OFF up to 100
"Bakery, Desserts",Bangalore Iyengar's Bakery,50% OFF up to 100
"Mithai, Street Food, Desserts",Morbiwala Sweet Mart,50% OFF up to 100
"Cafe, Coffee, Tea, Fast Food, Desserts, Beverages, Sandwich, Shake",Cafe Coffee Day,50% OFF up to 100
"Cafe, Coffee, Italian, Burger, Mexican, Continental, Desserts, Beverages",Aromas Cafe & Bistro,50% OFF up to 100
"Coffee, Healthy Food, American, Burger, Sandwich, Desserts, Beverages",Suchali's Artisan Bakehouse,Flat 10% OFF
"Maharashtrian, North Indian",Swayampak Ghar,10% OFF
South Indian,Ashapura Snacks,50% OFF up to 100
"North Indian, Fast Food, Desserts, Beverages, Healthy Food",Paratha Box - Desi Punjabi Meals,50% OFF up to 100
"Healthy Food, Continental, Mediterranean, Burger, Desserts, Wraps, Pizza, Salad",HRX by EatFit,50% OFF up to 100
"Healthy Food, North Indian, Mediterranean, Burger, Desserts, Wraps, Pizza, Salad",Canteen Central by EatFit,50% OFF up to 100
"Street Food, Fast Food",Deshmukh Fast Food,50% OFF up to 100
Street Food,Arya Pav Bhaji,20% OFF
"South Indian, North Indian, Chinese, Fast Food, Sandwich, Street Food, Ice Cream, Beverages",Vihar,10% OFF
South Indian,Shiv Shakti Dosa Corner,10% OFF
Street Food,Arya Misal House,20% OFF
South Indian,Mani Idlis,50% OFF up to 100
"Desserts, Sandwich",Edesia,50% OFF up to 100
South Indian,Dosawala Dot Com,60% OFF
"Cafe, Italian, Continental, Mexican, Lebanese, Desserts, Beverages",Cafe Amigos,50% OFF up to 100
"South Indian, Pizza, Sandwich, Fast Food",Qwik Bites,50% OFF up to 100
"North Indian, South Indian, Fast Food, Chinese, Beverages, Shake, Sichuan",Azad Pure Veg,50% OFF up to 100
"Cafe, Coffee, Shake, Beverages, Italian, Continental, Fast Food, Desserts",Samvene - The Bagel Cafe,
Biryani,Royal Biryani,60% OFF
"Beverages, Juices, Healthy Food",Smoodies by EatFit,50% OFF up to 100
"Malwani, North Indian, Seafood, Chinese, Biryani, Fast Food",Malvani Darya,60% OFF
"South Indian, North Indian, Fast Food",Rising Breakfast & Snacks,30% OFF
"Fast Food, Sandwich, Rolls, Pizza, Bakery, Desserts, Beverages, Shake",Oven Hot,20% OFF
"Continental, Chinese, Oriental, Asian, Healthy Food, Sandwich, Indian",Bowl Soul,50% OFF up to 100
"Lebanese, Middle Eastern, Salad",Shawarma Nights,20% OFF
Street Food,Shegaon Kachori Center,50% OFF up to 100
"North Indian, Maharashtrian, Street Food, Desserts, Beverages",Nimantran Poli Bhaji Kendra,30% OFF
"North Indian, Fast Food, South Indian, Chinese, Street Food, Sichuan, Beverages, Ice Cream",Hotel Parimala,10% OFF
"North Indian, Chinese, Continental, Fast Food",Drizzling Combo's & Bowl's,60% OFF
Street Food,Golden Eggs,20% OFF
"North Indian, Chinese, Biryani, Mughlai",Delicious Curries,60% OFF
"Biryani, North Indian, Fast Food, South Indian",Deepankar Foods Pvt Ltd,50% OFF up to 100
"Cafe, Coffee, Lebanese, Italian, Continental, Fast Food, Desserts, Beverages",Cafe Relish,50% OFF
"North Indian, Street Food",Halt N Eat,
South Indian,Balaji Snacks Center,
"North Indian, Maharashtrian, Mughlai",Right Bite Restaurant,60% OFF
"Tea, Street Food",Chai Bina Chain Kaha Re,50% OFF up to 100
"Juices, Beverages, Healthy Food, Tea, Coffee, Salad, Fast Food, Desserts",Frusion Pressery & Cafe,50% OFF up to 100
"South Indian, Fast Food",Atta Girl,50% OFF up to 100
Momos,Sherpa Momos,20% OFF
"Healthy Food, Desserts, Beverages, Shake",Keto Buzz,50% OFF up to 100
"South Indian, Beverages",Anna's Tiffin,Flat 20% OFF
"Momos, Chinese, Beverages, Sichuan",Chinese Imperial House,60% OFF
"Healthy Food, Steak",Green Cravings,50% OFF up to 100
"Biryani, North Indian, Mughlai",Soroush Biryani,50% OFF up to 100
"Burger, Fast Food, Desserts, Beverages",McDonald's,50% OFF up to 100
"Burger, Fast Food, Beverages",Burger King,50% OFF up to 100
"Pizza, Italian, Fast Food, Desserts, Beverages",Pizza Hut,50% OFF up to 100
"Street Food, Maharashtrian",Mamledar Misal,50% OFF up to 100
"Healthy Food, Fast Food, Sandwich, Salad, Wraps, Beverages",Subway,50% OFF up to 100
"Cafe, Coffee, Beverages, Fast Food, Desserts",Starbucks Coffee,50% OFF up to 100
Burger,Jumboking Indian Burger,50% OFF up to 100
"Tea, North Indian, Fast Food, Sandwich, Street Food, Desserts, Shake, Beverages",Chaayos Chai+Snacks=Relax,50% OFF up to 100
"Pizza, Pasta, Italian, Fast Food",La Pino'z Pizza,50% OFF up to 100
"Bakery, Desserts, Fast Food",Monginis,50% OFF up to 100
"Salad, Wraps, Kebab, Fast Food",Nothing But Chicken,50% OFF up to 100
"Bakery, Desserts, Rolls",Ribbons And Balloons,50% OFF up to 100
